function	direct_bl_callers	caller_addresses	stored_entry_pointers
WStrReverseCpy	39	0x005363BE;0x005363C8;0x005366F0;0x005366FE;0x0053672A;0x005367A8;0x005367B4;0x0056D022;0x0056D034;0x0056D088;0x0056D0DC;0x0056D130;0x005E26B2;0x005E26C4;0x005E26E4;0x005E26F6;0x005E2736;0x005E2748;0x005E2768;0x005E277A;0x005E2B80;0x005E2B90;0x005E2FF8;0x005E34DE;0x005E351C;0x005E359A;0x005E35AA;0x005E35FA;0x005E3652;0x005E37A4;0x005E37CC;0x005E3DB8;0x005E3DC8;0x005E3E66;0x005E3EA8;0x005E3F58;0x005E401A;0x005E40FA;0x005E4138	0
WStrReverse	2	0x00534D8A;0x005362AA	0
