entry,name,body_min,body_max,body_bytes,body_sha256,body_ranges,thunk,external,calling_functions,called_functions
0x000fa510,"cc310_bl_backend_disable",0x000fa510,0x000fa529,26,ffadfa87676bbd9cf8ac67c602b14c1686d9f6cbb33e261873fea93c01a3ecf8,"000fa510-000fa529",false,false,"cc310_bl_backend_hash_sha256_finalize@000fa54c;cc310_bl_backend_hash_sha256_update@000fa5a4;nrf_crypto_backend_secp256r1_verify@000fb228",""
0x000fa534,"cc310_bl_backend_enable",0x000fa534,0x000fa543,16,0922f39a6629398bb28ffbec54c1d670dd516af03196314c76fca47224bbd8a9,"000fa534-000fa543",false,false,"cc310_bl_backend_hash_sha256_finalize@000fa54c;cc310_bl_backend_hash_sha256_update@000fa5a4;nrf_crypto_backend_secp256r1_verify@000fb228",""
0x000fa54c,"cc310_bl_backend_hash_sha256_finalize",0x000fa54c,0x000fa593,72,3892de533a91fea2eb4474d1e136145ae0959e785a4cd93e07038f5f2a197e0c,"000fa54c-000fa593",false,false,"","nrf_cc310_bl_hash_sha256_finalize@000f9670;cc310_backend_mutex_trylock@000fa4e4;cc310_backend_mutex_unlock@000fa500;cc310_bl_backend_disable@000fa510;cc310_bl_backend_enable@000fa534;hash_result_get@000fabf4"
0x000fa594,"cc310_bl_backend_hash_sha256_init",0x000fa594,0x000fa5a3,16,35bb1e4cdbd0611a5cd565ff6e8a530213f2ecbb21b38ef97ead790867d1b2f9,"000fa594-000fa5a3",false,false,"","nrf_cc310_bl_hash_sha256_init@000f96d0;hash_result_get@000fabf4"
0x000fa5a4,"cc310_bl_backend_hash_sha256_update",0x000fa5a4,0x000fa603,96,63760d1a2e7b1f989835eeee504b1fcf32519a54cce84922f529b4e0328cfa03,"000fa5a4-000fa603",false,false,"","memmove@000f841a;nrf_cc310_bl_hash_sha256_update@000f9704;cc310_backend_mutex_trylock@000fa4e4;cc310_backend_mutex_unlock@000fa500;cc310_bl_backend_disable@000fa510;cc310_bl_backend_enable@000fa534;hash_result_get@000fabf4"
0x000fa608,"cc310_bl_backend_init",0x000fa608,0x000fa635,46,058d412ebaf0bdb581e8809d59f439b78e2396bf1cd25211f8aeb762fc3b503d,"000fa608-000fa635",false,false,"nrf_crypto_init@000fb3e8","nrf_cc310_bl_init@000f9898"
0x000fa640,"cc310_bl_backend_uninit",0x000fa640,0x000fa647,8,2a2b97085986b02143a8171eac24af4f9b49691b9896ad89544ac517bfe5e159,"000fa640-000fa647",false,false,"",""
0x000fa64c,"cmd_response_offset_and_crc_set",0x000fa64c,0x000fa657,12,58210c687111415b0d5829e7283caa9a5af913a458c972ac565aef5cf5e9471b,"000fa64c-000fa657",false,false,"nrf_dfu_command_req@000fb5c4",""
0x000fa65c,"crc32_compute",0x000fa65c,0x000fa691,54,8677efaa23df1e6941b2c9a04e34d4835188a3bc6e868b9c6d98e809a0c94181,"000fa65c-000fa691",false,false,"nrf_bootloader_app_activate@000f9d78;boot_validation_crc@000fa400;boot_validation_extract@000fa40c;bootloader_adv_name_record_valid@000fb930;nrf_dfu_settings_adv_name_write@000fb950;nrf_dfu_validation_boot_validate@000fbb76;nrf_dfu_validation_init_cmd_append@000fbc4c;nrf_dfu_data_object_write@000fc5c8;nrf_dfu_validation_postvalidate_impl@000fcf20;settings_crc_get@000fd410",""
0x000fa698,"crc_ok",0x000fa698,0x000fa6b5,30,03d833f80400007b98aca9a153ed9e7533feab1647074dd3dbf1249585768e5c,"000fa698-000fa6b5",false,false,"nrf_dfu_settings_reinit@000fb9d8","settings_crc_get@000fd410"
0x000fa6b8,"crypto_init",0x000fa6b8,0x000fa6e5,46,5febe1e9679ce95edab322cd2e3bc14d4d453c37f63f1b15f8a992435faab257,"000fa6b8-000fa6e5",false,false,"nrf_dfu_validation_boot_validate@000fbb76;nrf_dfu_validation_signature_check@000fbdb0","nrf_crypto_ecc_public_key_from_raw@000fb298;nrf_crypto_init@000fb3e8;nrf_crypto_internal_double_swap_endian@000fb428"
0x000fa776,"nanopb_decode_field",0x000fa6f8,0x000fa86b,372,add710f145a763b6d684b51134409699b395f7048e615794356b1819e5738df2,"000fa6f8-000fa86b",false,false,"pb_decode_noinit@000fc990","armcc_memclr@000f846a;pb_istream_from_buffer@000fcddc;pb_make_string_substream@000fcdf0;pb_message_set_to_defaults@000fce26;pb_skip_field@000fcec4;read_raw_value@000fd1e0"
0x000fa870,"nrf_bootloader_app_is_valid",0x000fa870,0x000fa8e3,116,92ffdf3290ba5967e91a2dafc50968002c8a1b3bdf36d02e1dd4a2306e79d253,"000fa870-000fa8e3",false,false,"nrf_bootloader_init@000fb0b8","boot_validate@000fa3f0;nrf_dfu_bank0_start_addr@000fb4d0"
0x000fa908,"nrf_bootloader_dfu_observer",0x000fa908,0x000fa945,56,a9189c0de33c2b4ffd5444239c15927f8c9c423049ccdb1d79f19fe0320cdea7,"000fa908-000fa915;000fa91c-000fa945",false,false,"","bootloader_reset@000fa4a4;nrf_bootloader_dfu_inactivity_timer_restart@000fafdc;nrf_dfu_settings_reinit@000fb9d8"
0x000fa950,"nrf_dfu_observer",0x000fa950,0x000fa973,36,5f27f84c79cec3e786edc20031d2fa9ecebc334b4c10d0261d9c85a7032fd4eb,"000fa950-000fa973",false,false,"nrf_dfu_init@000fb710","nrf_dfu_transports_close@000fbb08"
0x000fa978,"__NVIC_SystemReset",0x000fa978,0x000fa991,26,4ea1bf89337cf4659a67c8d8f2468d27532846cf99c868b533e7c2196ce09327,"000fa978-000fa991",false,false,"bootloader_reset@000fa4a4",""
0x000fa99c,"nrf_fstorage_nvmc_erase",0x000fa99c,0x000fa9df,68,e1fb6c5226667f82211a717a0221c1abfeb3b61c1537cb942c744664455c92c4,"000fa99c-000fa9df",false,false,"","nrf_fstorage_nvmc_event_send@000faa30;nrf_atomic_flag_clear@000fae86;nrf_atomic_u32_fetch_or@000fae8c;nrf_nvmc_page_erase@000fc070"
