caller_entry,caller_name,callsite,callee_entry,callee_name,reference_type
0x000f9d44,"advertising_start",0x000f9d50,0x000f841a,"memmove","UNCONDITIONAL_CALL"
0x000f9d44,"advertising_start",0x000f9d58,0x000f9cac,"dfu_advertising_name_get","UNCONDITIONAL_CALL"
0x000f9d78,"nrf_bootloader_app_activate",0x000f9d80,0x000fb4d0,"nrf_dfu_bank0_start_addr","UNCONDITIONAL_CALL"
0x000f9d78,"nrf_bootloader_app_activate",0x000f9d94,0x000fac3c,"image_copy","UNCONDITIONAL_CALL"
0x000f9d78,"nrf_bootloader_app_activate",0x000f9d9c,0x000fb4d0,"nrf_dfu_bank0_start_addr","UNCONDITIONAL_CALL"
0x000f9d78,"nrf_bootloader_app_activate",0x000f9da4,0x000fa65c,"crc32_compute","UNCONDITIONAL_CALL"
0x000f9dc4,"app_error_handler_bare",0x000f9dc4,0x000fc654,"app_error_fault_handler","UNCONDITIONAL_CALL"
0x000f9dc8,"app_sched_event_put",0x000f9de6,0x000f9ed4,"app_util_critical_region_enter","UNCONDITIONAL_CALL"
0x000f9dc8,"app_sched_event_put",0x000f9e04,0x000f9f1c,"app_util_critical_region_exit","UNCONDITIONAL_CALL"
0x000f9dc8,"app_sched_event_put",0x000f9e1e,0x000f9f1c,"app_util_critical_region_exit","UNCONDITIONAL_CALL"
0x000f9dc8,"app_sched_event_put",0x000f9e40,0x000f841a,"memmove","UNCONDITIONAL_CALL"
0x000f9f50,"nrf_bootloader_bl_activate",0x000f9f6c,0x000fb4f8,"nrf_dfu_bank1_start_addr","UNCONDITIONAL_CALL"
0x000f9f50,"nrf_bootloader_bl_activate",0x000f9f78,0x000f848e,"memcmp","UNCONDITIONAL_CALL"
0x000f9f50,"nrf_bootloader_bl_activate",0x000f9f80,0x000fb198,"nrf_bootloader_wdt_feed","UNCONDITIONAL_CALL"
0x000f9f50,"nrf_bootloader_bl_activate",0x000f9f8c,0x000fb740,"nrf_dfu_mbr_copy_bl","UNCONDITIONAL_CALL"
0x000f9f9c,"ble_dfu_init",0x000f9fde,0x000f841a,"memmove","UNCONDITIONAL_CALL"
0x000f9f9c,"ble_dfu_init",0x000f9ffa,0x000f841a,"memmove","UNCONDITIONAL_CALL"
0x000f9f9c,"ble_dfu_init",0x000fa01c,0x000f841a,"memmove","UNCONDITIONAL_CALL"
0x000f9f9c,"ble_dfu_init",0x000fa036,0x000f841a,"memmove","UNCONDITIONAL_CALL"
0x000fa060,"ble_dfu_req_handler_callback",0x000fa06a,0x000f846a,"armcc_memclr","UNCONDITIONAL_CALL"
0x000fa060,"ble_dfu_req_handler_callback",0x000fa0ac,0x000faac8,"ext_error_get","UNCONDITIONAL_CALL"
0x000fa060,"ble_dfu_req_handler_callback",0x000fa0b6,0x000faad8,"ext_error_set","UNCONDITIONAL_CALL"
0x000fa060,"ble_dfu_req_handler_callback",0x000fa0dc,0x000fd6d0,"uint32_encode","UNCONDITIONAL_CALL"
0x000fa060,"ble_dfu_req_handler_callback",0x000fa0e8,0x000fd6d0,"uint32_encode","UNCONDITIONAL_CALL"
0x000fa060,"ble_dfu_req_handler_callback",0x000fa0f4,0x000fd6d0,"uint32_encode","UNCONDITIONAL_CALL"
0x000fa060,"ble_dfu_req_handler_callback",0x000fa100,0x000fd264,"response_send","UNCONDITIONAL_CALL"
0x000fa060,"ble_dfu_req_handler_callback",0x000fa10e,0x000fd242,"response_crc_add","UNCONDITIONAL_CALL"
0x000fa118,"ble_dfu_transport_close",0x000fa152,0x000fdaa0,"nrfx_coredep_delay_machine_code_ble_dfu","COMPUTED_CALL"
0x000fa118,"ble_dfu_transport_close",0x000fa162,0x000fc244,"nrf_sdh_disable_request","UNCONDITIONAL_CALL"
0x000fa178,"ble_dfu_transport_init",0x000fa18c,0x000faf26,"nrf_balloc_init","UNCONDITIONAL_CALL"
0x000fa178,"ble_dfu_transport_init",0x000fa194,0x000fb758,"nrf_dfu_mbr_init_sd","UNCONDITIONAL_CALL"
0x000fa178,"ble_dfu_transport_init",0x000fa1a0,0x000fc298,"nrf_sdh_enable_request","UNCONDITIONAL_CALL"
0x000fa178,"ble_dfu_transport_init",0x000fa1a8,0x000fc120,"nrf_sdh_ble_app_ram_start_get","UNCONDITIONAL_CALL"
0x000fa178,"ble_dfu_transport_init",0x000fa1b2,0x000fc134,"nrf_sdh_ble_default_cfg_set","UNCONDITIONAL_CALL"
0x000fa178,"ble_dfu_transport_init",0x000fa1ba,0x000fc1d0,"nrf_sdh_ble_enable","UNCONDITIONAL_CALL"
0x000fa178,"ble_dfu_transport_init",0x000fa1c2,0x000fb930,"bootloader_adv_name_record_valid","UNCONDITIONAL_CALL"
0x000fa178,"ble_dfu_transport_init",0x000fa1ca,0x000fb918,"nrf_dfu_settings_adv_name_copy","UNCONDITIONAL_CALL"
0x000fa178,"ble_dfu_transport_init",0x000fa1d6,0x000fab04,"gap_params_init","UNCONDITIONAL_CALL"
0x000fa178,"ble_dfu_transport_init",0x000fa1e2,0x000f9f9c,"ble_dfu_init","UNCONDITIONAL_CALL"
