function	start	end_exclusive	size	sha256	source_line_constants	direct_callee_count	evidence
dmAdvActConfig	0x004B9AC0	0x004B9D1A	602	14f5b5f1cb3b9562c0d8747178ae5f5ba67472861828b12d022ae1278e9ea988	111	6	retained_path_anchor_plus_operation_shape
dmAdvStartDirected	0x004BA6D4	0x004BA848	372	6b939a502d0a86ca1c10c1fae3f6f0a5a13eaa112076cd15c56c03b5b1cd570a	445	7	retained_path_anchor_plus_operation_shape
dmAdvStopDirected	0x004BA864	0x004BA9C8	356	e010ef6ab44be58fae6ed5edbff56739d5df23458c094361c067f359b4844527	472	6	retained_path_anchor_plus_operation_shape
dmAdvConnected	0x004BA9D4	0x004BAAF8	292	894996038f13a66c0f3ba2a6c98dd60e4fc59cdc52f5ca182e6383677a248867	495	7	retained_path_anchor_plus_operation_shape
dmAdvConnectFailed	0x004BAB04	0x004BAC28	292	ae277a1e0906b38cf0239285a32a972a58e9cf7337162a5871cbca9c737d8737	515	7	retained_path_anchor_plus_operation_shape
