file	blob	sha256	bytes	relation_to_r20.05c_build_closure
dm_priv.c	45966dc6bfcf77162b37695ba821eff78c1c551c	13f285c4bf2d03744cd7f2665e465ed03f33491fd88cec001a303a04334b24ac	25576	byte-identical
dm_priv.h	97cb6448a774cea8ddb5da8e520a93934a93b81e	d72731afcde8b6464a8635aaa992b0bba71827e59e06071aa46166e38b3dd71a	5698	byte-identical
dm_api.h	51a72e5f6b413b42ebbec9bc6e2d7010bedde36f	96c3b98488bdbb31ab7e7a1f1c28a9cfc55d2df106968a14de32bc270abf4ea8	152465	differs; identity-only, not used in verified build
dm_main.h	2179c64790192dcf3d6f419230bdb9ebc8458d48	f2fb305d0e7bafa505c9696a7452c9e580dd23443305f0c4f2f3865290c96b20	4969	differs; identity-only, not used in verified build
