# Ghidra range gaps already included in owning official envelopes; never add these bytes again
start	end_exclusive	size	bytes_hex	sha256	envelope_owner	data_address	kind	consumers	wave9_additional_bytes
0x0051AC54	0x0051AC58	4	adc52737	dc7a1fd57bc52c70f6764ff0f1d444d3da17a66f4d1844caa7ec96ace9473940	0x0051A8EC	0x0051AC54	epsilon-float-literal-0x3727c5ad	0x0051A8EC	0
0x0051AE80	0x0051AE84	4	cecc4c3d	520785396915dc5fee16200fa20d2f34b406e13bbd762dad4b925abb2a37f3b9	0x0051A8EC	0x0051AE80	stroke-threshold-float-literal-0x3d4cccce	0x0051A8EC	0
0x0051AFF2	0x0051AFF4	2	00bf	b35429818002e6e8ced180b98b8273bd2fc11f8ed0b0ff54eade7a5920a15ed4	0x0051A8EC	-	thumb-nop-padding	-	0
0x0051B072	0x0051B074	2	00bf	b35429818002e6e8ced180b98b8273bd2fc11f8ed0b0ff54eade7a5920a15ed4	0x0051A8EC	-	thumb-nop-padding	-	0
